excel_row,code,severity,detail
847,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: GEO STRUKTUR INDONUSA
848,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: GEO STRUKTUR INDONUSA
855,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: GEOTECH EFATHAMA
856,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: GEOTECH EFATHAMA
868,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: GLOBAL ENERGI GEMILANG
869,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: GLOBAL ENERGI GEMILANG
971,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: HERMAN
972,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: HERMANSYAH
1010,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ILHAM
1011,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: ILHAM
1013,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: IMAM
1014,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: IMAM
1024,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: INCOMINDO MURNI JAYA
1025,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: INCOMINDO MURNI JAYA
1061,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: INNOTEK MEGAH INDONESIA
1062,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: INNOTEK MEGAH INDONESIA
1088,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: SARJONO
1123,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: JAYA ABADI
1124,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: JAYA ABADI
1125,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: JAYA ABADI
1165,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SISWANTO
1207,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: KARYA MAJU BERSAMA
1208,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: KARYA MAJU BERSAMA
1301,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: KUSWANTO
1302,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: KUSWANTO
1313,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: LANCARJAYA MANDIRI ABADI
1314,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: LANCARJAYA MANDIRI ABADI
1315,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: LANCARJAYA MANDIRI ABADI
1323,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: LATIF HIDAYA
1324,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: LATIF HIDAYA
1330,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: SULAIMAN
1335,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: LEMBAGA PENGEMBANGAN PERBANKAN
1336,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: LEMBAGA PENGEMBANGAN PERBANKAN
1337,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 3 kali: LEMBAGA PENGEMBANGAN PERBANKAN
1390,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MAAMUN MUBAROK
1391,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MAAMUN MUBAROK
1407,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MAJU LANGGENG MANDIRI
1408,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MAJU LANGGENG MANDIRI
1414,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MALVIN
1415,DUPLICATE_VENDOR_NAME,MEDIUM,Nama Rekanan muncul 2 kali: MALVIN
